child_id,edad_meses,sexo,figura_id,imagen_path,puntaje,evaluador,fecha,version_baremo
NINO_0001,41,F,F01,raw/NINO_0001/F01.jpg,1,DOC_A,2026-03-10,CUMANIN-2_2021
NINO_0001,41,F,F02,raw/NINO_0001/F02.jpg,1,DOC_A,2026-03-10,CUMANIN-2_2021
NINO_0001,41,F,F03,raw/NINO_0001/F03.jpg,0,DOC_A,2026-03-10,CUMANIN-2_2021
NINO_0001,41,F,F04,raw/NINO_0001/F04.jpg,1,DOC_A,2026-03-10,CUMANIN-2_2021
NINO_0001,41,F,F05,raw/NINO_0001/F05.jpg,0,DOC_A,2026-03-10,CUMANIN-2_2021
NINO_0001,41,F,F06,raw/NINO_0001/F06.jpg,0,DOC_A,2026-03-10,CUMANIN-2_2021
NINO_0002,58,M,F01,raw/NINO_0002/F01.jpg,1,DOC_A,2026-03-11,CUMANIN-2_2021
NINO_0002,58,M,F02,raw/NINO_0002/F02.jpg,1,DOC_A,2026-03-11,CUMANIN-2_2021
NINO_0002,58,M,F03,raw/NINO_0002/F03.jpg,1,DOC_A,2026-03-11,CUMANIN-2_2021
NINO_0002,58,M,F04,raw/NINO_0002/F04.jpg,1,DOC_A,2026-03-11,CUMANIN-2_2021
NINO_0002,58,M,F05,raw/NINO_0002/F05.jpg,1,DOC_A,2026-03-11,CUMANIN-2_2021
NINO_0002,58,M,F06,raw/NINO_0002/F06.jpg,0,DOC_A,2026-03-11,CUMANIN-2_2021
NINO_0007,37,M,F01,raw/NINO_0007/F01.jpg,1,DOC_B,2026-03-14,CUMANIN-2_2021
NINO_0007,37,M,F02,raw/NINO_0007/F02.jpg,0,DOC_B,2026-03-14,CUMANIN-2_2021
NINO_0007,37,M,F03,raw/NINO_0007/F03.jpg,0,DOC_B,2026-03-14,CUMANIN-2_2021
NINO_0007,37,M,F04,raw/NINO_0007/F04.jpg,0,DOC_B,2026-03-14,CUMANIN-2_2021
NINO_0007,37,M,F05,raw/NINO_0007/F05.jpg,0,DOC_B,2026-03-14,CUMANIN-2_2021
NINO_0007,37,M,F06,raw/NINO_0007/F06.jpg,0,DOC_B,2026-03-14,CUMANIN-2_2021
